"ASV","kingdom","phylum","class","order","family","genus","species","id","value","presence"
"fac4e3ff623eae5ebacaf738d7c14c3d","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia","Boeremia exigua","Xixon01",1206,1
"24e74d80a14c45a5cf5d90ec5a781cc7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani","Xixon01",200,1
"17bb29359a13eeeae4fa37e4fbb847a2","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium brasilianum","Xixon01",998,1
"0214f77c97b534f865dc5e077d8167dd","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA,"Xixon01",203,1
"a90f7820f8c8240177be68191aa0cab6","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella amoeboidea","Xixon01",552,1
"ee3301596353115d984dc0c9664e878c","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Xixon01",86,1
"7fa39fff8be43810f8677988f7ee0f08","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon01",779,1
"fe6e0d84335c1c1de1b254c8c3bcd054","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella oratosquillae","Xixon01",205,1
"e5671d1da632186394d775f8d6096844","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","Purpureocillium lilacinum","Xixon01",30,1
"cc32d35334cf17862d3175316e9701b2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla septimanifiniscientiae","Xixon01",15,1
"c4a064ae7fb682189a258bace314e177","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Xixon01",85,1
"fe7f913e91ecf86f1ea164db45885cd8","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon01",497,1
"6561b49957472649f70f2e0e30fd9df0","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Xixon01",110,1
"b1fba0f15ae8baa50ed1288d6e219d90","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema","Lophiotrema rubi","Xixon01",122,1
"1b68da96108335a51b6f788e49167025","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis leptospora","Xixon01",99,1
"06fe039e6c439c062fea71deda5adb84","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"Xixon01",89,1
"8af26dc85f1855154c5c98f0da778d3a","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA,"Xixon01",30,1
"ec68b18c9e2748757693ad10646d905b","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Volutella","Volutella ciliata","Xixon01",157,1
